,playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,cap hit
2,8480196,2022,Jacob Bryson,BUF,D,5on5,48,39069.0,967.0,7.35,0.47,0.5,0.51,0.53,0.49,0.52,225.0,23.92,0.79,1.17,6.51,0.73,13.83,10.97,0.78,0.78,0.78,2.0,3.0,24.0,10.0,13.0,47.0,6.0,1.0,2.0,0.0,6.0,2.0,11.0,12.0,23.0,33.0,4.0,8.0,0.0,24.0,11.0,6.0,34.0,0.0,0.0,0.79,0.0,0.0,1.0,0.0,0.0,47.43,34.0,34.23,5.0,0.23,0.27,0.03,0.99,0.99,0.98,967.0,101.0,102.0,166.0,598.0,158.0,132.0,97.0,580.0,0.0,0.0,102727.0,8.0,6.0,3.0,44.0,323.9,25.52,24.87,25.23,24.6,312.0,131.0,152.0,595.0,19.0,25.0,2.0,354.0,67.0,22.0,11.46,8.18,5.88,7.0,9.0,3.0,591.44,443.0,437.41,4.23,4.83,4.83,24.92,24.67,24.38,335.22,28.99,28.09,29.41,28.5,347.0,113.0,121.0,581.0,38.0,31.0,5.0,340.0,95.0,25.0,10.41,11.53,7.06,15.0,16.0,7.0,588.67,460.0,465.07,4.51,5.98,5.98,27.51,27.86,27.31,79.77,79.19,1650.0,1441.0,3.57,0.35,70.0,5.0,52.0,5.0,"1,850,000"
7,8480950,2022,Ilya Lyubushkin,BUF,D,5on5,46,34076.0,858.0,5.7,0.45,0.49,0.47,0.53,0.46,0.51,238.0,21.57,0.74,1.06,6.2,0.68,11.84,9.47,0.73,0.73,0.72,2.0,5.0,23.0,7.0,15.0,45.0,7.0,0.0,0.0,0.0,4.0,0.0,14.0,12.0,23.0,30.0,15.0,30.0,0.0,61.0,12.0,8.0,29.0,1.0,0.0,0.63,0.11,0.0,0.0,0.0,0.0,44.7,30.0,29.92,6.0,0.21,0.0,0.02,0.94,0.93,0.91,858.0,69.0,109.0,143.0,537.0,143.0,107.0,103.0,505.0,0.0,0.0,102565.0,30.0,12.0,6.0,49.0,254.51,23.04,21.75,22.81,21.56,237.0,107.0,119.0,463.0,20.0,29.0,0.0,258.0,64.0,22.0,8.68,8.24,6.12,9.0,9.0,2.0,462.74,344.0,342.2,3.43,6.03,6.03,20.44,20.35,20.03,300.45,27.66,26.76,27.65,26.77,304.0,107.0,121.0,532.0,25.0,30.0,7.0,296.0,89.0,26.0,8.85,11.2,7.61,9.0,9.0,7.0,533.8,411.0,412.52,4.14,6.85,6.56,25.24,25.28,24.81,79.54,83.15,1671.0,1486.0,3.78,0.18,74.0,7.0,59.0,5.0,"2,750,000"
37,8475747,2022,Patrik Nemeth,ARI,D,5on5,56,45058.0,996.0,-5.27,0.39,0.47,0.41,0.47,0.39,0.47,260.0,42.48,1.34,2.4,11.09,1.34,26.71,19.11,1.33,1.32,1.32,1.0,2.0,39.0,23.0,28.0,90.0,3.0,0.0,3.0,0.0,4.0,1.0,24.0,30.0,39.0,62.0,12.0,24.0,0.0,69.0,8.0,15.0,60.0,2.0,0.0,1.12,0.22,0.0,0.0,0.0,0.0,88.26,62.0,60.73,12.0,0.47,0.63,0.07,1.74,1.72,1.7,996.0,72.0,112.0,165.0,647.0,134.0,191.0,99.0,572.0,0.0,0.0,117009.0,24.0,6.0,3.0,56.0,288.11,23.93,23.07,23.78,22.95,285.0,114.0,163.0,562.0,16.0,21.0,2.0,300.0,76.0,23.0,8.77,8.95,6.2,2.0,11.0,3.0,552.93,399.0,393.6,4.01,4.15,4.23,23.7,23.57,23.21,449.2,37.38,35.97,37.55,36.1,444.0,184.0,187.0,815.0,22.0,37.0,3.0,472.0,127.0,29.0,13.8,15.7,7.88,7.0,12.0,3.0,822.26,628.0,631.79,6.13,7.48,7.48,36.03,36.16,35.27,79.81,90.71,1597.0,1829.0,2.3,0.59,55.0,10.0,40.0,8.0,"2,500,000"
57,8477948,2022,Travis Sanheim,PHI,D,5on5,61,64309.0,1408.0,14.42,0.44,0.48,0.47,0.48,0.48,0.49,157.0,70.72,4.51,4.35,18.67,2.32,39.53,29.61,4.43,4.53,4.46,7.0,2.0,69.0,30.0,31.0,130.0,12.0,3.0,6.0,1.0,25.0,4.0,21.0,40.0,66.0,96.0,16.0,32.0,0.0,45.0,11.0,28.0,85.0,11.0,3.0,2.28,1.39,0.84,2.0,0.0,1.0,129.37,99.0,98.56,23.0,0.89,1.01,0.72,4.68,4.67,4.63,1408.0,112.0,158.0,205.0,933.0,180.0,212.0,165.0,851.0,0.0,0.0,116846.0,32.0,22.0,11.0,84.0,526.33,41.47,40.42,41.29,40.25,510.0,213.0,225.0,948.0,35.0,49.0,4.0,558.0,127.0,38.0,16.16,15.46,9.84,20.0,8.0,7.0,943.74,723.0,719.91,7.14,8.71,8.71,39.89,39.73,39.29,574.31,52.2,50.12,52.68,50.57,544.0,242.0,284.0,1070.0,42.0,53.0,5.0,553.0,183.0,50.0,16.32,22.28,13.6,12.0,19.0,11.0,1083.12,786.0,793.25,8.08,10.5,10.85,49.44,49.91,48.99,77.55,85.55,1726.0,1901.0,3.98,0.16,115.0,9.0,81.0,8.0,"4,675,000"
82,8474207,2022,Nick Holden,OTT,D,5on5,52,41682.0,942.0,15.45,0.5,0.52,0.52,0.51,0.52,0.52,241.0,49.17,1.8,2.76,13.95,1.6,28.69,21.2,1.76,1.79,1.75,3.0,5.0,49.0,21.0,46.0,116.0,9.0,1.0,3.0,0.0,14.0,0.0,28.0,24.0,48.0,69.0,4.0,8.0,0.0,61.0,6.0,22.0,66.0,4.0,0.0,1.31,0.49,0.0,1.0,0.0,0.0,114.12,70.0,68.72,19.0,0.55,0.52,0.03,2.32,2.31,2.26,942.0,66.0,70.0,142.0,664.0,145.0,142.0,107.0,548.0,0.0,0.0,103548.0,8.0,2.0,1.0,41.0,358.03,31.27,30.08,30.9,29.73,350.0,142.0,192.0,684.0,22.0,32.0,1.0,355.0,114.0,23.0,10.74,14.2,6.33,9.0,11.0,2.0,675.43,492.0,487.36,4.99,5.76,5.76,30.5,30.12,29.44,338.16,31.38,30.36,31.86,30.81,336.0,123.0,176.0,635.0,29.0,31.0,6.0,324.0,102.0,33.0,10.08,12.27,9.03,14.0,9.0,6.0,645.62,459.0,464.8,4.81,6.38,6.38,29.81,30.18,29.76,85.26,78.6,1744.0,1647.0,4.18,0.2,80.0,5.0,70.0,5.0,"1,300,000"
102,8482671,2022,Owen Power,BUF,D,5on5,57,68666.0,1381.0,35.58,0.48,0.5,0.53,0.52,0.51,0.51,108.0,66.46,4.62,4.17,16.22,2.33,37.09,28.57,4.48,4.65,4.51,7.0,5.0,75.0,18.0,46.0,139.0,15.0,3.0,6.0,0.0,21.0,0.0,25.0,38.0,72.0,90.0,7.0,12.0,0.0,20.0,17.0,34.0,78.0,10.0,5.0,2.2,1.23,1.2,1.0,2.0,0.0,137.67,93.0,93.2,23.0,0.84,1.04,0.84,4.62,4.58,4.49,1381.0,193.0,147.0,223.0,818.0,213.0,210.0,207.0,751.0,0.0,0.0,99310.0,12.0,10.0,5.0,56.0,604.69,54.05,52.33,54.16,52.42,610.0,214.0,300.0,1124.0,68.0,52.0,3.0,581.0,201.0,42.0,18.81,24.19,11.05,25.0,33.0,10.0,1124.95,824.0,826.6,8.45,8.71,8.96,53.55,53.66,52.89,581.42,58.23,55.67,59.04,56.43,605.0,189.0,185.0,979.0,50.0,67.0,13.0,543.0,190.0,61.0,17.34,23.35,17.54,22.0,18.0,10.0,993.66,794.0,803.63,8.35,14.68,14.97,51.61,52.41,51.42,72.87,72.52,1529.0,1439.0,4.88,0.23,108.0,5.0,81.0,5.0,"916,667"
157,8482245,2022,Artem Zub,OTT,D,5on5,32,34531.0,689.0,8.95,0.54,0.53,0.5,0.52,0.51,0.52,67.0,23.12,0.71,1.36,7.36,0.88,13.92,9.77,0.67,0.72,0.68,1.0,4.0,22.0,12.0,28.0,62.0,6.0,1.0,3.0,0.0,4.0,0.0,12.0,14.0,21.0,33.0,10.0,20.0,0.0,79.0,6.0,17.0,33.0,1.0,0.0,0.6,0.11,0.0,1.0,0.0,0.0,61.42,34.0,33.59,15.0,0.27,0.59,0.13,0.85,0.84,0.81,689.0,62.0,84.0,117.0,426.0,80.0,102.0,81.0,426.0,0.0,0.0,55063.0,20.0,8.0,4.0,33.0,281.44,26.26,25.1,26.51,25.31,273.0,109.0,140.0,522.0,23.0,27.0,5.0,268.0,92.0,22.0,7.92,11.7,6.64,6.0,11.0,6.0,524.59,382.0,384.01,3.84,5.99,5.99,24.1,24.2,23.82,266.99,21.98,21.47,22.31,21.78,259.0,109.0,160.0,528.0,20.0,18.0,2.0,271.0,82.0,15.0,7.74,10.24,4.0,6.0,10.0,4.0,535.11,368.0,373.8,3.59,2.87,2.87,22.7,22.97,22.64,46.73,41.12,959.0,879.0,4.6,0.02,65.0,3.0,50.0,2.0,"2,500,000"
162,8477488,2022,Brett Pesce,CAR,D,5on5,59,63091.0,1243.0,44.15,0.58,0.62,0.58,0.61,0.58,0.61,152.0,86.92,3.37,5.05,26.09,3.02,53.34,38.14,3.27,3.43,3.34,9.0,2.0,86.0,43.0,83.0,212.0,13.0,2.0,11.0,1.0,20.0,4.0,46.0,46.0,84.0,127.0,11.0,25.0,0.0,20.0,40.0,11.0,124.0,3.0,2.0,2.51,0.3,0.56,1.0,0.0,1.0,216.31,129.0,131.12,7.0,1.01,2.4,0.57,3.8,3.83,3.75,1243.0,182.0,117.0,214.0,730.0,210.0,135.0,151.0,747.0,0.0,0.0,109028.0,25.0,17.0,7.0,56.0,595.79,52.13,49.91,53.18,50.9,568.0,276.0,283.0,1127.0,45.0,76.0,10.0,631.0,166.0,47.0,18.02,20.57,13.55,16.0,22.0,7.0,1159.12,844.0,863.0,8.78,13.22,13.56,47.36,48.14,47.02,455.48,38.11,36.94,37.65,36.51,452.0,171.0,183.0,806.0,35.0,34.0,2.0,456.0,135.0,32.0,12.5,17.08,8.51,16.0,16.0,3.0,786.69,623.0,612.86,6.31,6.63,6.77,37.64,37.26,36.69,96.88,59.01,2024.0,1295.0,3.11,0.09,78.0,8.0,64.0,6.0,"4,025,000"
197,8478846,2022,Christian Wolanin,VAN,D,5on5,6,5160.0,115.0,0.72,0.54,0.41,0.48,0.43,0.54,0.43,29.0,4.5,0.14,0.27,1.25,0.14,3.17,2.03,0.13,0.13,0.13,0.0,0.0,5.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,5.0,7.0,1.0,2.0,0.0,2.0,0.0,3.0,7.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,8.57,7.0,6.65,2.0,0.05,0.0,0.0,0.19,0.18,0.17,115.0,9.0,3.0,15.0,88.0,18.0,20.0,5.0,72.0,0.0,0.0,12443.0,2.0,0.0,0.0,2.0,47.03,4.51,4.4,4.43,4.33,52.0,14.0,14.0,80.0,3.0,7.0,2.0,47.0,14.0,5.0,1.72,1.56,1.22,0.0,2.0,1.0,76.94,66.0,63.79,0.73,0.84,0.84,4.4,4.31,4.25,40.17,3.83,3.52,3.79,3.48,39.0,17.0,30.0,86.0,2.0,5.0,1.0,42.0,8.0,6.0,1.28,0.84,1.7,1.0,0.0,1.0,86.96,56.0,56.47,0.58,1.19,1.19,3.22,3.23,3.19,6.53,9.59,143.0,190.0,0.32,0.02,7.0,4.0,6.0,2.0,"750,000"
202,8482111,2022,Justin Barron,MTL,D,5on5,24,19974.0,399.0,6.15,0.42,0.41,0.46,0.42,0.46,0.42,113.0,18.43,0.75,1.07,4.74,0.57,11.69,8.17,0.73,0.75,0.74,3.0,3.0,21.0,6.0,19.0,46.0,8.0,2.0,3.0,0.0,4.0,0.0,12.0,6.0,19.0,25.0,3.0,6.0,0.0,21.0,2.0,20.0,26.0,1.0,0.0,0.66,0.09,0.0,2.0,0.0,0.0,44.8,27.0,26.81,16.0,0.21,0.63,0.0,0.96,0.97,0.94,399.0,50.0,31.0,61.0,257.0,45.0,48.0,47.0,259.0,0.0,0.0,50164.0,6.0,6.0,3.0,19.0,150.61,14.02,13.48,14.0,13.45,158.0,49.0,86.0,293.0,17.0,13.0,3.0,148.0,44.0,15.0,4.5,5.69,3.83,5.0,11.0,1.0,289.15,207.0,206.01,2.06,3.02,3.02,13.06,13.05,12.83,177.76,19.01,17.86,19.34,18.17,166.0,77.0,96.0,339.0,19.0,23.0,2.0,156.0,67.0,20.0,4.86,8.13,6.02,5.0,12.0,2.0,348.23,243.0,247.83,2.68,5.23,5.23,16.46,16.71,16.35,33.95,48.52,669.0,929.0,2.38,0.47,38.0,6.0,30.0,5.0,"925,000"
232,8478476,2022,Kyle Capobianco,WPG,D,5on5,9,6069.0,146.0,2.05,0.56,0.51,0.54,0.49,0.54,0.49,51.0,7.3,0.33,0.43,2.1,0.25,4.71,3.17,0.32,0.33,0.32,0.0,0.0,5.0,6.0,5.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,10.0,2.0,4.0,0.0,9.0,3.0,2.0,10.0,1.0,0.0,0.2,0.13,0.0,1.0,0.0,0.0,15.99,11.0,11.03,2.0,0.09,0.0,0.0,0.42,0.42,0.4,146.0,17.0,13.0,16.0,100.0,22.0,20.0,20.0,84.0,0.0,0.0,20661.0,4.0,2.0,1.0,4.0,51.07,4.07,4.01,4.0,3.94,56.0,18.0,21.0,95.0,3.0,2.0,0.0,62.0,7.0,5.0,1.88,0.9,1.29,2.0,0.0,1.0,93.86,74.0,72.74,0.64,0.64,0.64,4.07,4.02,3.96,44.76,3.2,3.15,3.21,3.17,50.0,13.0,19.0,82.0,2.0,4.0,0.0,51.0,11.0,1.0,1.35,1.56,0.29,0.0,2.0,0.0,81.08,63.0,62.86,0.57,0.61,0.61,3.16,3.2,3.17,14.75,13.98,300.0,316.0,0.38,0.0,9.0,0.0,6.0,0.0,"762,500"
262,8477346,2022,MacKenzie Weegar,CGY,D,5on5,61,64844.0,1593.0,46.6,0.57,0.53,0.62,0.55,0.62,0.55,155.0,98.03,3.55,5.58,28.16,3.4,58.57,43.75,3.47,3.64,3.56,7.0,8.0,92.0,51.0,81.0,224.0,16.0,1.0,8.0,0.0,24.0,1.0,54.0,55.0,91.0,142.0,16.0,35.0,0.0,125.0,25.0,46.0,137.0,6.0,0.0,2.76,0.79,0.0,1.0,0.0,0.0,228.38,143.0,144.99,29.0,1.12,1.13,0.29,4.38,4.47,4.38,1593.0,139.0,163.0,272.0,1019.0,194.0,149.0,184.0,1066.0,0.0,0.0,111587.0,35.0,21.0,9.0,61.0,640.16,49.37,47.96,49.81,48.37,630.0,260.0,338.0,1228.0,41.0,57.0,8.0,711.0,135.0,44.0,20.27,16.92,12.16,16.0,15.0,10.0,1242.63,890.0,899.37,8.35,9.92,9.77,47.95,48.28,47.64,404.27,37.06,35.95,37.03,35.93,374.0,178.0,201.0,753.0,37.0,31.0,2.0,395.0,121.0,36.0,11.99,15.0,10.08,17.0,14.0,6.0,751.25,552.0,551.4,5.5,6.15,6.15,36.41,36.43,35.85,89.2,77.57,1951.0,1617.0,8.25,0.37,162.0,8.0,130.0,6.0,"3,250,000"
267,8478407,2022,Vince Dunn,SEA,D,5on5,61,71928.0,1414.0,51.88,0.52,0.5,0.54,0.51,0.54,0.51,105.0,84.21,4.53,5.06,23.41,2.84,50.78,36.39,4.45,4.58,4.51,6.0,12.0,89.0,34.0,64.0,187.0,29.0,11.0,4.0,0.0,19.0,2.0,38.0,49.0,78.0,112.0,16.0,35.0,0.0,88.0,32.0,39.0,111.0,11.0,1.0,3.16,1.13,0.23,8.0,3.0,0.0,189.05,123.0,124.43,34.0,1.02,0.3,0.32,5.22,5.29,5.23,1414.0,205.0,124.0,257.0,828.0,133.0,177.0,241.0,863.0,0.0,0.0,110243.0,35.0,27.0,12.0,53.0,632.5,55.28,53.59,55.79,54.11,615.0,268.0,295.0,1178.0,75.0,44.0,10.0,660.0,175.0,48.0,20.45,21.81,13.01,34.0,28.0,13.0,1197.97,883.0,895.36,8.75,8.33,8.33,55.7,56.32,55.53,542.82,50.03,47.62,50.13,47.7,554.0,197.0,263.0,1014.0,51.0,56.0,9.0,539.0,155.0,57.0,15.61,19.33,15.1,19.0,19.0,13.0,1014.86,751.0,749.91,7.74,11.3,11.3,46.47,46.55,45.62,74.21,75.28,1677.0,1613.0,3.98,0.47,107.0,10.0,85.0,10.0,"4,000,000"
282,8483565,2022,Nick Blankenburg,CBJ,D,5on5,25,24606.0,516.0,7.23,0.46,0.44,0.46,0.46,0.47,0.46,93.0,27.82,1.66,1.76,6.83,0.88,16.48,11.38,1.59,1.62,1.55,3.0,1.0,30.0,9.0,20.0,59.0,6.0,2.0,1.0,0.0,9.0,0.0,9.0,18.0,28.0,37.0,6.0,12.0,0.0,38.0,7.0,7.0,35.0,3.0,1.0,0.96,0.4,0.29,2.0,0.0,0.0,59.02,39.0,38.95,6.0,0.35,0.16,0.29,1.72,1.71,1.65,516.0,60.0,64.0,71.0,321.0,63.0,81.0,71.0,301.0,0.0,0.0,50556.0,12.0,6.0,3.0,33.0,212.84,18.28,17.66,18.09,17.49,213.0,77.0,97.0,387.0,17.0,18.0,4.0,216.0,59.0,15.0,6.57,7.34,4.37,6.0,7.0,4.0,382.45,290.0,287.13,2.86,3.85,4.24,16.9,16.67,16.36,236.85,21.18,20.49,21.73,21.03,234.0,95.0,118.0,447.0,23.0,23.0,6.0,255.0,51.0,23.0,7.56,6.32,7.3,11.0,5.0,7.0,459.49,329.0,337.94,3.16,5.75,5.75,18.6,18.96,18.61,33.49,42.23,738.0,882.0,1.86,0.05,39.0,5.0,30.0,5.0,"825,000"
307,8474565,2022,Alex Pietrangelo,VGK,D,5on5,52,56627.0,1154.0,35.13,0.56,0.55,0.48,0.51,0.51,0.51,140.0,84.49,2.96,4.74,23.28,2.85,51.3,38.86,2.88,2.97,2.89,4.0,10.0,96.0,28.0,56.0,180.0,19.0,5.0,7.0,0.0,24.0,1.0,33.0,54.0,91.0,119.0,4.0,8.0,0.0,46.0,37.0,28.0,120.0,4.0,0.0,2.56,0.4,0.0,3.0,2.0,0.0,179.96,124.0,124.04,17.0,0.95,1.26,0.09,3.82,3.82,3.71,1154.0,175.0,154.0,194.0,631.0,108.0,154.0,188.0,704.0,0.0,0.0,102514.0,8.0,6.0,3.0,98.0,495.06,46.82,44.13,47.18,44.51,503.0,184.0,232.0,919.0,40.0,56.0,5.0,492.0,146.0,49.0,15.01,18.24,13.57,17.0,16.0,7.0,924.11,687.0,688.94,7.2,11.38,11.38,42.65,42.91,41.9,475.74,36.75,35.34,37.15,35.7,461.0,199.0,316.0,976.0,39.0,43.0,6.0,512.0,123.0,25.0,14.93,15.01,6.81,15.0,17.0,7.0,981.0,660.0,666.43,6.47,5.93,5.93,37.28,37.5,36.7,75.55,62.13,1603.0,1569.0,3.28,0.89,75.0,17.0,56.0,15.0,"8,800,000"
342,8476979,2022,Erik Gustafsson,TOR,D,5on5,62,62965.0,1245.0,46.95,0.54,0.5,0.54,0.49,0.53,0.49,211.0,104.25,4.46,5.63,28.41,3.46,60.2,45.82,4.26,4.45,4.26,8.0,8.0,95.0,53.0,61.0,209.0,23.0,7.0,8.0,2.0,21.0,2.0,57.0,53.0,88.0,141.0,7.0,17.0,0.0,47.0,19.0,39.0,135.0,12.0,1.0,2.81,1.31,0.34,3.0,3.0,1.0,205.89,148.0,146.84,27.0,1.13,1.78,0.69,4.9,4.83,4.65,1245.0,197.0,87.0,208.0,753.0,131.0,227.0,167.0,720.0,0.0,0.0,119475.0,17.0,23.0,10.0,52.0,593.63,52.66,50.05,52.58,50.01,588.0,225.0,313.0,1126.0,51.0,62.0,8.0,585.0,178.0,50.0,17.25,21.75,13.66,15.0,26.0,10.0,1121.84,813.0,810.76,8.05,12.73,12.73,47.97,48.06,47.04,513.89,44.46,43.13,44.79,43.46,493.0,217.0,242.0,952.0,39.0,42.0,3.0,523.0,149.0,38.0,16.3,18.21,9.94,16.0,17.0,6.0,958.31,710.0,711.55,6.95,7.3,7.46,43.94,44.25,43.62,85.2,85.29,1841.0,1898.0,5.53,0.25,100.0,12.0,88.0,6.0,"800,000"
357,8481599,2022,Victor Soderstrom,ARI,D,5on5,9,6828.0,158.0,-0.25,0.45,0.44,0.43,0.46,0.41,0.44,47.0,4.19,0.08,0.22,1.15,0.12,2.69,1.74,0.08,0.08,0.07,1.0,0.0,4.0,2.0,11.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,2.0,4.0,0.0,2.0,2.0,5.0,6.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,17.0,6.0,5.91,4.0,0.04,0.0,0.0,0.12,0.11,0.11,158.0,13.0,12.0,24.0,109.0,8.0,31.0,18.0,101.0,0.0,0.0,19950.0,4.0,0.0,0.0,14.0,43.9,4.66,4.42,4.71,4.46,45.0,14.0,30.0,89.0,4.0,8.0,2.0,40.0,13.0,6.0,1.12,1.55,1.99,0.0,2.0,2.0,89.56,59.0,59.24,0.6,2.06,2.06,3.21,3.21,3.14,60.03,5.8,5.52,5.85,5.58,59.0,27.0,33.0,119.0,4.0,7.0,1.0,63.0,18.0,5.0,2.17,2.32,1.3,1.0,3.0,0.0,120.41,86.0,86.55,0.89,1.16,1.16,5.53,5.61,5.48,13.51,17.05,273.0,323.0,0.85,0.06,12.0,3.0,10.0,2.0,"863,333"
367,8475750,2022,Jon Merrill,MIN,D,5on5,56,45650.0,908.0,7.93,0.48,0.52,0.48,0.51,0.48,0.52,262.0,39.57,1.57,2.26,10.71,1.23,25.36,17.87,1.53,1.57,1.53,4.0,3.0,34.0,25.0,18.0,77.0,9.0,2.0,2.0,0.0,10.0,2.0,19.0,24.0,32.0,57.0,11.0,20.0,0.0,34.0,12.0,9.0,54.0,5.0,0.0,1.02,0.55,0.0,2.0,0.0,0.0,76.93,59.0,58.7,8.0,0.45,0.36,0.13,1.9,1.89,1.84,908.0,79.0,56.0,125.0,648.0,137.0,152.0,106.0,513.0,0.0,0.0,118878.0,20.0,10.0,5.0,59.0,356.53,26.7,26.13,26.93,26.36,342.0,154.0,159.0,655.0,23.0,27.0,2.0,382.0,96.0,18.0,9.83,12.14,4.73,10.0,10.0,3.0,661.47,496.0,499.6,4.6,4.59,4.59,26.71,26.94,26.62,383.66,29.28,28.44,29.05,28.23,376.0,160.0,165.0,701.0,33.0,31.0,4.0,425.0,87.0,24.0,12.02,10.68,6.57,15.0,11.0,7.0,691.94,536.0,531.41,5.07,6.39,6.39,27.95,27.77,27.38,81.74,76.38,1882.0,1773.0,3.62,0.05,83.0,2.0,68.0,2.0,"1,200,000"
